b'20091101000000'	11292.568	-3818.7857081449374	3505	3523	1590	501	283	60	9462
b'20091201000000'	11463.844	-3817.7627340009867	3534	3553	1645	494	287	61	9574
b'20100101000000'	11636.605	-3801.69747346169	3568	3594	1679	488	296	64	9689
b'20100201000000'	11844.056	-3727.4788012538506	3591	3616	1710	505	311	64	9797
b'20100301000000'	12013.285	-3684.8753150322764	3600	3644	1757	501	316	67	9885
b'20100401000000'	12243.37	-3570.1748494529274	3595	3663	1806	502	333	71	9970
b'20100501000000'	12373.795	-3674.3192407158826	3657	3657	1847	494	346	75	10076
b'20100601000000'	12502.827	-3601.389557337463	3662	3663	1878	490	357	79	10129
b'20100701000000'	12644.768	-3548.71675447125	3669	3681	1906	486	369	81	10192
b'20100801000000'	12775.903	-3533.231377257911	3693	3705	1924	485	385	82	10274
b'20100901000000'	12890.16	-3815.905565069951	3789	3735	1932	487	388	91	10422
b'20101001000000'	13054.924	-3786.5881942853184	3811	3727	2002	465	403	93	10501
b'20101101000000'	13187.722	-3753.1994471375647	3829	3730	2033	460	421	93	10566
b'20101201000000'	13325.816	-3722.843624777569	3841	3771	2062	461	425	92	10652
b'20110101000000'	13486.536	-3620.6416230543455	3861	3801	2089	464	437	93	10745
b'20110201000000'	13634.267	-3545.739795803028	3874	3834	2113	460	444	93	10818
b'20110301000000'	13743.599	-3497.3028384963955	3865	3867	2142	456	448	95	10873
b'20110401000000'	13873.176	-3458.99460515862	3876	3896	2176	447	457	96	10948
b'20110501000000'	13990.471	-3412.5154895019245	3872	3925	2194	451	468	95	11005
b'20110601000000'	14133.578	-3414.353039001422	3909	3956	2202	454	488	96	11105
b'20110701000000'	14319.543	-3916.716320141745	4173	3989	2238	456	491	99	11446
b'20110801000000'	14498.84	-4136.520804446609	4299	4012	2271	459	494	105	11640
b'20110901000000'	14616.809	-4170.010685965768	4325	4043	2278	471	507	107	11731
b'20111001000000'	14731.554	-4113.521619498664	4322	4049	2305	465	517	111	11769
b'20111101000000'	14857.337	-4083.494564534241	4335	4062	2337	466	526	110	11836
b'20111201000000'	14944.794	-4108.331932183473	4352	4067	2356	472	532	108	11887
b'20120101000000'	15047.435	-4177.519070429813	4407	4085	2374	480	536	106	11988
b'20120201000000'	15165.239	-4132.737681059177	4401	4096	2419	471	547	107	12041
b'20120301000000'	15307.882	-4112.642668825579	4423	4118	2433	478	561	110	12123
b'20120401000000'	15436.796	-4044.452369385603	4427	4154	2460	475	562	110	12188
b'20120501000000'	15565.837	-4007.593385596873	4437	4169	2496	473	567	112	12254
b'20120601000000'	15688.663	-3932.275036520322	4426	4191	2499	482	583	115	12296
b'20120701000000'	15830.844	-3845.0620828324127	4399	4216	2533	475	597	117	12337
b'20120801000000'	15965.101	-3875.5960600757767	4429	4254	2564	462	606	118	12433
b'20120901000000'	16105.404	-3929.583926159771	4449	4283	2600	456	619	119	12526
b'20121001000000'	16202.403	-3901.2808159840024	4455	4298	2626	459	618	120	12576
b'20121101000000'	16290.851	-3853.756608373251	4456	4304	2652	456	627	118	12613
b'20121201000000'	16426.252	-3772.825614552393	4442	4318	2682	460	640	120	12662
b'20130101000000'	16660.124	-3613.797078189536	4417	4265	2800	458	651	116	12707
b'20130201000000'	16805.446	-3575.804541391785	4431	4260	2849	462	662	116	12780
b'20130301000000'	16863.562	-3527.0243851969776	4439	4280	2867	443	667	117	12813
b'20130401000000'	16938.895	-3558.9514534007785	4461	4280	2880	444	678	119	12862
b'20130501000000'	17048.648	-3519.7018597146894	4466	4291	2879	444	698	124	12902
b'20130601000000'	17064.578	-3597.691808718963	4462	4318	2929	442	675	124	12950
b'20130701000000'	17181.432	-3582.006054890449	4482	4318	2953	445	684	127	13009
b'20130801000000'	17292.33	-3535.2162504290927	4482	4345	2950	447	708	126	13058
b'20130901000000'	17422.703	-3453.8246357158278	4478	4355	2960	444	732	128	13097
b'20131001000000'	17528.668	-3401.119240076463	4487	4360	2989	441	736	131	13144
b'20131101000000'	17658.304	-3324.7333360602283	4472	4386	3007	437	754	132	13188
b'20131201000000'	17788.824	-3258.668283570855	4480	4405	3022	437	769	134	13247
b'20140101000000'	17910.247	-3224.841309324179	4490	4438	3048	441	771	132	13320
b'20140201000000'	18075.38	-3149.955625692981	4489	4464	3083	441	782	135	13394
b'20140301000000'	18226.545	-3109.11825428561	4487	4503	3108	439	791	139	13467
b'20140401000000'	18369.394	-3067.439199452465	4498	4515	3136	441	802	144	13536
b'20140501000000'	18490.239	-3041.427211400738	4497	4556	3155	436	810	148	13602
